"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"Nov 2021","7.163,10","6.830,88","7.181,55","6.830,88","68,24M","4,87%"
"Oct 2021","6.830,34","6.421,10","6.830,34","6.412,70","1,58B","4,76%"
"Sept 2021","6.520,01","6.736,44","6.784,66","6.389,62","1,90B","-2,40%"
"Août 2021","6.680,18","6.657,95","6.913,67","6.560,74","1,31B","1,02%"
"Juill 2021","6.612,76","6.549,82","6.671,12","6.253,25","1,59B","1,61%"
"Juin 2021","6.507,83","6.470,42","6.687,29","6.464,71","1,56B","0,94%"
"Mai 2021","6.447,17","6.285,51","6.496,32","6.150,43","1,55B","2,83%"
"Avr 2021","6.269,48","6.079,67","6.352,36","6.063,86","1,42B","3,33%"
"Mar 2021","6.067,23","5.770,89","6.097,74","5.755,60","2,06B","6,38%"
"Févr 2021","5.703,22","5.441,43","5.834,36","5.429,78","1,75B","5,63%"
"Jan 2021","5.399,21","5.614,04","5.721,89","5.379,22","1,89B","-2,74%"
"Déc 2020","5.551,41","5.542,46","5.625,60","5.306,58","1,76B","0,60%"
"Nov 2020","5.518,55","4.614,95","5.612,76","4.581,86","2,44B","20,12%"
"Oct 2020","4.594,24","4.850,20","4.998,51","4.512,57","1,98B","-4,36%"
"Sept 2020","4.803,44","4.974,42","5.131,39","4.666,26","2,11B","-2,91%"
"Août 2020","4.947,22","4.797,06","5.096,53","4.763,60","1,49B","3,42%"
"Juill 2020","4.783,69","4.939,80","5.172,98","4.783,69","1,97B","-3,09%"
"Juin 2020","4.935,99","4.776,72","5.213,67","4.691,81","2,77B","5,12%"
"Mai 2020","4.695,44","4.413,14","4.784,09","4.194,58","2,19B","2,70%"
"Avr 2020","4.572,18","4.259,94","4.719,74","4.142,28","2,25B","4,00%"
"Mar 2020","4.396,12","5.416,02","5.509,28","3.632,06","4,76B","-17,21%"
"Févr 2020","5.309,90","5.822,04","6.111,41","5.229,56","2,25B","-8,55%"
"Jan 2020","5.806,34","6.016,61","6.109,81","5.799,04","1,64B","-2,87%"
"Déc 2019","5.978,06","5.910,12","6.065,00","5.697,06","1,46B","1,23%"
"Nov 2019","5.905,17","5.749,48","5.966,79","5.739,70","1,58B","3,06%"
"Oct 2019","5.729,86","5.696,20","5.778,24","5.393,49","1,89B","0,92%"
"Sept 2019","5.677,79","5.483,43","5.696,25","5.441,18","1,73B","3,60%"
"Août 2019","5.480,48","5.500,91","5.563,65","5.170,77","1,78B","-0,70%"
"Juill 2019","5.518,90","5.584,13","5.672,77","5.496,77","1,58B","-0,36%"
"Juin 2019","5.538,97","5.171,61","5.582,24","5.152,30","1,73B","6,36%"
"Mai 2019","5.207,63","5.568,20","5.573,16","5.160,91","1,95B","-6,78%"
